id,student_skills,student_fields_of_study,project_prefered_skills,project_prefered_fields_of_study,match_persentage
1,"['Data Analysis', 'HTML']",Mathematics,"['Spring Boot', 'Data Analysis', 'HTML', 'Docker']","['Electrical Engineering', 'Physics', 'Mathematics']",65.0
2,"['CSS', 'AWS', 'Data Analysis', 'Spring Boot']",Data Science,"['C#', 'React', 'CSS']",['Electrical Engineering'],23.33
3,"['Docker', 'Python', 'Spring Boot', 'HTML', 'Machine Learning']",Physics,"['Docker', 'C#', 'HTML', 'Python']","['Mechanical Engineering', 'Mathematics']",52.5
4,"['React', 'Data Analysis', 'SQL', 'AWS']",Electrical Engineering,"['HTML', 'Machine Learning', 'CSS', 'AWS']",['Computer Science'],17.5
5,"['TensorFlow', 'Docker', 'Java', 'Python']",Software Engineering,"['Machine Learning', 'CSS', 'Kubernetes']","['Electrical Engineering', 'Mathematics', 'Computer Science']",0.0
6,"['AWS', 'SQL', 'Machine Learning', 'Data Analysis', 'Docker']",Software Engineering,"['Spring Boot', 'Kubernetes', 'SQL', 'CSS', 'HTML', 'Machine Learning']",['Mathematics'],23.33
7,"['Kubernetes', 'Data Analysis']",Mathematics,"['Python', 'Docker', 'HTML', 'Machine Learning']","['Mechanical Engineering', 'Mathematics', 'Physics']",30.0
8,"['Machine Learning', 'Java', 'Python']",Mathematics,"['Machine Learning', 'TensorFlow', 'AWS', 'Spring Boot', 'Python']","['Data Science', 'Mathematics']",58.0
9,"['Data Analysis', 'Kubernetes', 'C#']",Mechanical Engineering,"['TensorFlow', 'SQL', 'Kubernetes', 'React']",['AI/ML'],17.5
10,"['HTML', 'SQL', 'Kubernetes', 'Java', 'AWS']",Electrical Engineering,"['SQL', 'Java', 'Spring Boot']",['AI/ML'],46.67
11,"['CSS', 'Machine Learning', 'HTML', 'Data Analysis']",Mathematics,"['Java', 'Spring Boot', 'HTML', 'C#']",['Software Engineering'],17.5
12,"['Python', 'TensorFlow', 'C#', 'Java', 'SQL']",Data Science,"['AWS', 'TensorFlow', 'C#', 'React', 'Java']",['Mechanical Engineering'],42.0
13,"['C#', 'Docker']",AI/ML,"['TensorFlow', 'Kubernetes', 'HTML', 'AWS', 'Machine Learning']","['Computer Science', 'Electrical Engineering', 'Data Science']",0.0
14,"['Data Analysis', 'Java']",Electrical Engineering,"['Spring Boot', 'HTML', 'React', 'Machine Learning']","['Software Engineering', 'Mathematics', 'Mechanical Engineering']",0.0
15,"['Data Analysis', 'CSS']",Data Science,"['Python', 'Java', 'HTML', 'AWS', 'C#', 'TensorFlow']","['Mechanical Engineering', 'Physics']",0.0
16,"['Python', 'Docker']",Electrical Engineering,"['Java', 'React', 'Spring Boot']",['AI/ML'],0.0
17,"['AWS', 'Java', 'Data Analysis', 'CSS', 'TensorFlow']",Electrical Engineering,"['Kubernetes', 'Spring Boot', 'Python', 'AWS', 'React']","['Electrical Engineering', 'Data Science']",44.0
18,"['Data Analysis', 'Docker']",Mathematics,"['AWS', 'Python', 'CSS']","['Data Science', 'Mathematics', 'Software Engineering']",30.0
19,"['React', 'AWS', 'Java', 'C#', 'TensorFlow']",Mathematics,"['AWS', 'Data Analysis', 'Docker']","['Computer Science', 'AI/ML']",23.33
20,"['AWS', 'React']",Mathematics,"['AWS', 'SQL', 'C#', 'CSS', 'Java', 'Docker']",['Electrical Engineering'],11.67
21,"['Python', 'Java', 'Machine Learning', 'C#', 'React']",Electrical Engineering,"['Docker', 'React', 'AWS', 'C#', 'Data Analysis', 'SQL']","['Software Engineering', 'Data Science', 'Mechanical Engineering']",23.33
22,"['HTML', 'Kubernetes', 'Python', 'Data Analysis']",Computer Science,"['Spring Boot', 'React', 'Data Analysis', 'TensorFlow', 'Docker']","['Data Science', 'AI/ML']",14.0
23,"['Java', 'C#', 'Machine Learning', 'TensorFlow']",Electrical Engineering,"['CSS', 'SQL', 'TensorFlow', 'Python', 'Kubernetes']","['Electrical Engineering', 'AI/ML', 'Mathematics']",44.0
24,"['Python', 'React', 'Data Analysis', 'TensorFlow', 'Java']",Electrical Engineering,"['Data Analysis', 'Machine Learning', 'Spring Boot', 'SQL', 'HTML']","['Electrical Engineering', 'Data Science', 'AI/ML']",44.0
25,"['C#', 'Docker', 'AWS', 'CSS']",Electrical Engineering,"['TensorFlow', 'Spring Boot', 'CSS', 'HTML', 'Python', 'C#']","['Mathematics', 'Software Engineering']",23.33
26,"['TensorFlow', 'Java', 'SQL', 'Kubernetes', 'CSS']",AI/ML,"['HTML', 'Python', 'Docker', 'AWS']","['Electrical Engineering', 'Mechanical Engineering', 'Mathematics']",0.0
27,"['Kubernetes', 'TensorFlow']",Mathematics,"['Spring Boot', 'Python', 'SQL', 'Data Analysis', 'HTML']","['Computer Science', 'Electrical Engineering']",0.0
28,"['Python', 'React', 'HTML', 'Docker', 'TensorFlow']",Mathematics,"['Data Analysis', 'Python', 'TensorFlow', 'CSS']","['Mechanical Engineering', 'AI/ML']",35.0
29,"['C#', 'React', 'Data Analysis']",Computer Science,"['SQL', 'Docker', 'Data Analysis', 'React']","['Software Engineering', 'Electrical Engineering', 'Computer Science']",65.0
30,"['HTML', 'Data Analysis']",Mathematics,"['CSS', 'SQL', 'Docker', 'Machine Learning']","['AI/ML', 'Physics']",0.0
31,"['SQL', 'Kubernetes', 'Python', 'CSS']",Software Engineering,"['SQL', 'Docker', 'HTML', 'Spring Boot', 'Java', 'Data Analysis']","['Mechanical Engineering', 'Electrical Engineering']",11.67
32,"['SQL', 'Spring Boot', 'Machine Learning', 'Python', 'HTML']",Mechanical Engineering,"['Java', 'Docker', 'CSS', 'TensorFlow', 'Spring Boot']","['Computer Science', 'Electrical Engineering', 'Software Engineering']",14.0
33,"['CSS', 'TensorFlow']",Computer Science,"['Machine Learning', 'SQL', 'CSS', 'TensorFlow', 'Data Analysis', 'Docker']","['Data Science', 'AI/ML', 'Mathematics']",23.33
34,"['Machine Learning', 'CSS', 'Java', 'TensorFlow']",Mechanical Engineering,"['CSS', 'AWS', 'Kubernetes', 'Docker']","['Mechanical Engineering', 'Electrical Engineering']",47.5
35,"['Java', 'Python', 'Docker', 'Spring Boot']",Physics,"['SQL', 'TensorFlow', 'Java', 'Python', 'React']","['Physics', 'Mathematics']",58.0
