id,student_skills,student_fields_of_study,project_prefered_skills,project_prefered_fields_of_study,match_persentage
1,"['React', 'AWS', 'SQL']",Mathematics,"['C#', 'React', 'Python', 'Docker']","['Mathematics', 'Mechanical Engineering', 'Physics']",47.5
2,"['Docker', 'Java', 'AWS', 'CSS', 'TensorFlow']",Software Engineering,"['Python', 'Spring Boot', 'AWS', 'SQL']","['Software Engineering', 'Mathematics']",47.5
3,"['AWS', 'Docker']",Software Engineering,"['SQL', 'C#', 'Docker', 'AWS', 'Spring Boot', 'Machine Learning']","['Electrical Engineering', 'Data Science']",23.33
4,"['C#', 'TensorFlow', 'Docker']",Electrical Engineering,"['CSS', 'SQL', 'HTML', 'Machine Learning']",['Data Science'],0.0
5,"['HTML', 'Java', 'Python']",Software Engineering,"['AWS', 'TensorFlow', 'Data Analysis', 'SQL', 'Python']",['Data Science'],14.0
6,"['C#', 'Kubernetes', 'AWS', 'Docker', 'Data Analysis']",AI/ML,"['C#', 'CSS', 'React', 'SQL']","['Mechanical Engineering', 'AI/ML', 'Mathematics']",47.5
7,"['C#', 'HTML', 'Kubernetes', 'Data Analysis']",Mathematics,"['HTML', 'Docker', 'Java']","['Software Engineering', 'AI/ML', 'Mechanical Engineering']",23.33
8,"['Java', 'Python']",AI/ML,"['Python', 'Docker', 'Kubernetes']",['Electrical Engineering'],23.33
9,"['React', 'CSS', 'AWS']",Physics,"['Kubernetes', 'Docker', 'React', 'Java', 'HTML']","['Mechanical Engineering', 'Electrical Engineering']",14.0
10,"['Machine Learning', 'Kubernetes', 'Python', 'Spring Boot']",Electrical Engineering,"['HTML', 'TensorFlow', 'C#', 'CSS', 'React', 'Docker']","['AI/ML', 'Electrical Engineering']",30.0
11,"['Machine Learning', 'SQL']",Physics,"['Spring Boot', 'Java', 'C#', 'Machine Learning']",['Data Science'],17.5
12,"['TensorFlow', 'Spring Boot', 'HTML', 'Java']",AI/ML,"['React', 'Docker', 'Java', 'TensorFlow', 'SQL', 'AWS']",['Computer Science'],23.33
13,"['Data Analysis', 'Kubernetes']",AI/ML,"['CSS', 'Java', 'Data Analysis']","['Mathematics', 'AI/ML', 'Data Science']",53.33
14,"['Data Analysis', 'Docker', 'React', 'Python']",Data Science,"['Docker', 'Python', 'SQL', 'Java']","['Software Engineering', 'AI/ML']",35.0
15,"['Data Analysis', 'SQL', 'CSS']",Electrical Engineering,"['React', 'Spring Boot', 'Python', 'Data Analysis', 'AWS']","['Mechanical Engineering', 'Computer Science']",14.0
16,"['TensorFlow', 'Docker', 'Spring Boot', 'Kubernetes', 'Data Analysis']",Mathematics,"['AWS', 'CSS', 'React', 'Spring Boot', 'C#']",['Mathematics'],44.0
17,"['HTML', 'Data Analysis', 'Python']",Data Science,"['Kubernetes', 'Data Analysis', 'TensorFlow', 'Machine Learning', 'HTML', 'Spring Boot']","['Physics', 'Data Science', 'Electrical Engineering']",53.33
18,"['Python', 'CSS', 'TensorFlow', 'Machine Learning', 'Spring Boot']",Mathematics,"['Python', 'Machine Learning', 'CSS', 'Docker']","['AI/ML', 'Data Science']",52.5
